"","ego","alter","dv","ego_capacity_n","alter_capacity_n","ej_diff","c_diff_n","c_diff_cat","count_ego_collaboratives","count_alter_collaboratives","overlap_collab","ego_np_501c3","alter_np_501c3","np_match","ego_ej_mission","alter_ej_mission","ej_diff_cat","count_ego_issues","count_alter_issues","i_match","ego_local","alter_local","geo_diff_cat","distance"
"1","G13","G1",0,0.00192406970886424,0.00626981217719915,0,0.00434574246833491,"higher",5,0,0,1,0,"lower",2,2,"match",4,2,1,"regional","regional","regional_match",99547.3821382679
"2","G14","G1",0,0,0.00626981217719915,0,0.00626981217719915,"higher",0,0,1,0,0,"no_np_homophily",2,2,"match",3,2,0,"local","regional","bigger",98410.3366208437
"3","G16","G1",0,0,0.00626981217719915,1,0.00626981217719915,"higher",0,0,1,1,0,"lower",1,2,"higher",1,2,0,"local","regional","bigger",100878.058790873
"4","G17","G1",0,0.00338440320094692,0.00626981217719915,-1,0.00288540897625223,"higher",7,0,0,1,0,"lower",3,2,"lower",2,2,1,"local","regional","bigger",99957.6893671752
"5","G19","G1",0,0.002405615661348,0.00626981217719915,0,0.00386419651585115,"higher",0,0,1,1,0,"lower",2,2,"match",2,2,0,"local","regional","bigger",98330.8925434728
"6","G20","G1",0,0.000806723398014089,0.00626981217719915,-1,0.00546308877918506,"higher",4,0,0,1,0,"lower",3,2,"lower",6,2,2,"regional","regional","regional_match",98944.0170501265
"7","G21","G1",0,0.0001036430124939,0.00626981217719915,0,0.00616616916470525,"higher",0,0,1,1,0,"lower",2,2,"match",3,2,1,"local","regional","bigger",117963.448791588
"8","G29","G1",0,0.000669274139494594,0.00626981217719915,1,0.00560053803770456,"higher",0,0,1,1,0,"lower",1,2,"higher",3,2,1,"local","regional","bigger",36898.0657589316
"9","G4","G1",0,7.98051006739163e-05,0.00626981217719915,0,0.00619000707652523,"higher",0,0,1,1,0,"lower",2,2,"match",5,2,1,"regional","regional","regional_match",16321.6365462236
"10","G41","G1",0,0.00312278569447108,0.00626981217719915,1,0.00314702648272807,"higher",0,0,1,0,0,"no_np_homophily",1,2,"higher",4,2,1,"local","regional","bigger",22448.0689064924
"11","G43","G1",1,0.000624248446774465,0.00626981217719915,-1,0.00564556373042469,"higher",4,0,0,1,0,"lower",3,2,"lower",3,2,2,"regional","regional","regional_match",99035.2869241327
"12","G48","G1",0,0.000568828213879408,0.00626981217719915,-1,0.00570098396331974,"higher",3,0,0,1,0,"lower",3,2,"lower",4,2,2,"local","regional","bigger",100067.421668926
"13","G59","G1",0,0.00451728234709347,0.00626981217719915,-1,0.00175252983010568,"higher",4,0,0,1,0,"lower",3,2,"lower",7,2,2,"regional","regional","regional_match",98589.804688643
"14","G6","G1",0,0.00621088366214912,0.00626981217719915,1,5.89285150500293e-05,"higher",0,0,1,0,0,"no_np_homophily",1,2,"higher",3,2,2,"regional","regional","regional_match",253.84043977004
"15","G60","G1",0,0.00114668178299981,0.00626981217719915,0,0.00512313039419934,"higher",1,0,0,1,0,"lower",2,2,"match",2,2,0,"regional","regional","regional_match",118432.745881555
"16","G66","G1",0,7.43008566589935e-06,0.00626981217719915,0,0.00626238209153325,"higher",1,0,0,1,0,"lower",2,2,"match",3,2,1,"local","regional","bigger",112579.127445302
"17","G69","G1",0,0.000657863434326975,0.00626981217719915,1,0.00561194874287218,"higher",0,0,1,0,0,"no_np_homophily",1,2,"higher",1,2,0,"local","regional","bigger",22448.0689064924
"18","G71","G1",0,0.00635483274997845,0.00626981217719915,0,-8.5020572779303e-05,"lower",0,0,1,1,0,"lower",2,2,"match",1,2,1,"local","regional","bigger",113629.853643619
