"","Ego","Ego 501c3 Status","Ego Capacity","Ego Collaboratives","Ego EJ Commitment","Ego Issue Diversity","Ego Geographic Scope","Alter 501c3 Status","Alter Capacity","Alter Collaboratives","Alter EJ Commitment","Alter Issue Diversity","Distance (mi)"
"1","All Positives Possible",1,0.00278770759691127,0,2,5,"regional",1,0,0,1.5,3.5,13.2341052407943
"2","California Indian Environmental Alliance",1,0.00594262836081384,1,3,4,"regional",0.33,0,0,2.33,3.33,18.9469141565918
"3","Catholic Charities - Diocese of Stockton",1,0.0267042614034154,5,2,4,"regional",0.86,0.02,4,2.57,3.57,35.2539235593518
"4","Conway Homes Resident Council",0,0,0,2,3,"local",1,0,4.75,2.75,4,2.51276045571208
"5","Environmental Justice Coalition for Water",1,0.005603390557631,4,3,3,"regional",0.17,0,0.5,2.17,2.33,28.699009241592
"6","Hood Community Council",1,0,0,1,1,"local",0,0,0,1,3,14.6988616525208
"7","Latino Outdoors",0,0.187250546989594,0,1,3,"regional",1,0,0.5,1.5,2.5,70.8738838778212
"8","Little Manila Rising",1,0.029108290703348,7,3,2,"local",0.83,0.18,1.5,2.5,4.67,29.555196138159
"9","Public Health Advocates",1,0.0443776319735864,4,3,7,"regional",0.86,0,1.71,2,2.43,12.674145727246
"10","Reinvent South Stockton Coalition",1,0.0678291239383343,0,2,2,"local",0.58,0.01,2.17,1.92,2.75,31.0960572861255
"11","Resources for Independent Living",1,0.0103506504719386,1,2,2,"regional",0.25,0,0.75,2.75,4.5,28.498331823759
"12","Restore the Delta",1,0.0065766676690612,4,3,6,"regional",0.77,0.02,1.46,2.08,3.92,30.108078261852
"13","Richmond Community Foundation Connects - Ensuring Opportunity",0,0.036172123400984,0,1,4,"local",0.5,0,0,3,4,7.54230665287567
"14","Richmond Community Foundation Connects - Mobility LABs",0,0.0202797028630867,0,1,1,"local",0.5,0,0,0.5,1.5,15.0656313189649
"15","Sacramento Native American Health Center",1,0.143671365026039,0,2,1,"local",1,0,1.75,2.5,2.75,5.29412473787364
"16","Sacramento Regional Coalition to End Homelessness",1,0.000919981902138087,0,2,3,"local",1,0,0,3,1,0.913563349095142
"17","Stockton Service Corps",0,0.076872673471632,2,2,2,"local",0.83,0,2.83,2.67,3.67,50.5058889782334
"18","The Sierra Club",1,1,7,2,5,"regional",0.75,0,0.25,1.75,5.25,62.5421574770597
"19","Third City Coalition",1,0.00366748166259169,3,3,4,"local",0.67,0,2.83,2.83,3.33,23.9190713259385
"20","United Latinos",1,0.000259543639211259,1,2,3,"local",1,0,0.8,1.4,2.8,3.83948225806002
"21","Vallejo Project",1,0.00447578469577884,0,1,3,"local",0.33,0,0,0.83,2,1.50260201877133
